id,title,description,priority,requirement_type,verification_required
req_user_create,ユーザー作成機能,新規ユーザーを作成できること,high,functional,true
req_user_validate,ユーザー入力検証,入力データの妥当性を検証すること,medium,functional,true
req_user_save,ユーザー保存機能,ユーザーデータをDBに保存できること,high,functional,true
req_performance,レスポンス性能,ユーザー作成は1秒以内に完了すること,medium,non-functional,false
req_invitation_create,招待状作成機能,新規招待状を作成してユニークなコードを発行できること,high,functional,true
req_invitation_trace,招待経路追跡機能,招待コードから招待者の系譜を追跡できること,high,functional,true
req_invitation_validate,招待状検証機能,招待コードの有効性を検証できること,high,functional,true
req_affiliate_hierarchy,アフィリエイト階層管理,招待による階層構造を管理できること,medium,functional,true
req_ocr_lead_email_poc,名刺OCRリード調査メール送信PoC,名刺画像からOCR解析してリード調査付きメールを送信する最小構成のPoC機能,high,functional,true
req_wasm_idbfs_sync_poc,KuzuDB WASM IDBFSブラウザ間同期PoC,KuzuDB WASMを使用したブラウザアプリケーションで複数ブラウザ間のIndexedDB File System同期を実現するPoC機能,high,functional,true
req_fts_vss_search,FTS/VSSハイブリッド検索機能,"要件の重複検出と類似性検索のためのハイブリッド検索機能【実装手順】1.INSTALL FTS; LOAD FTS;でFTS拡張をインストール 2.LOAD EXTENSION vector;でベクトル拡張をインストール 3.CREATE_FTS_INDEX('requirement_fts_idx','RequirementEntity',['title','description'],language:='japanese')で全文検索インデックス作成 4.ALTER TABLE RequirementEntity ADD embedding FLOAT[768];でベクトルカラム追加 5.CREATE_VECTOR_INDEX('requirement_vec_idx','RequirementEntity','embedding',768,'cosine')でベクトル検索インデックス作成【依存】なし【クエリ】WITH $keyword as search_term,$embedding as query_embedding CALL{CALL QUERY_FTS_INDEX('requirement_fts_idx',search_term)RETURN node as r,score as fts_score UNION CALL QUERY_VECTOR_INDEX('requirement_vec_idx',query_embedding,20)RETURN node as r,similarity_score*100 as fts_score}WITH r,MAX(fts_score)as combined_score RETURN r.id,r.title,r.description,combined_score ORDER BY combined_score DESC;",high,functional,true